Bien jurídico afectado,Clave,"Tipo de delito, subtipo y modalidad",,,,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Total,,,,,,15736,14805,16429,15213,17772,17842,17237,18444,16795,18849,17827,17129,204078
La vida y la Integridad,1,Total de delitos contra la vida y la integridad corporal,,,,1094,1052,1106,1005,1239,1084,1049,1117,1093,1187,1086,1098,13210
,1.1,Homicidio,,,,165,143,136,147,178,156,152,146,141,152,141,159,1816
,1.1.1,,Homicidio doloso,,,92,69,71,89,101,94,78,87,96,95,81,95,1048
,1.1.1.1,,,Con arma de fuego,,66,48,50,55,69,65,59,63,64,72,64,77,752
,1.1.1.2,,,Con arma blanca,,15,7,13,14,16,16,11,12,14,12,3,13,146
,1.1.1.3,,,Con otro elemento,,11,14,8,20,16,13,8,12,18,11,14,5,150
,1.1.1.4,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.1.2,,Homicidio culposo,,,73,74,65,58,77,62,74,59,45,57,60,64,768
,1.1.2.1,,,Con arma de fuego,,7,6,4,2,1,1,4,5,4,6,7,3,50
,1.1.2.2,,,Con arma blanca,,0,0,0,0,0,0,0,0,1,0,3,0,4
,1.1.2.3,,,En accidente de tránsito,,55,51,50,45,52,44,54,35,34,43,46,60,569
,1.1.2.4,,,Con otro elemento,,11,17,11,11,24,17,16,19,6,8,4,1,145
,1.1.2.5,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2,Lesiones,,,,917,899,959,845,1054,915,889,964,944,1024,937,926,11273
,1.2.1,,Lesiones dolosas,,,513,535,545,504,639,540,520,562,564,623,534,549,6628
,1.2.1.1,,,Con arma de fuego,,159,134,137,137,144,128,155,147,146,188,153,193,1821
,1.2.1.2,,,Con arma blanca,,90,91,88,89,112,93,91,88,86,86,87,85,1086
,1.2.1.3,,,Con otro elemento,,264,310,320,278,383,319,274,327,332,349,294,271,3721
,1.2.1.4,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2.2,,Lesiones culposas,,,404,364,414,341,415,375,369,402,380,401,403,377,4645
,1.2.2.1,,,Con arma de fuego,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2.2.2,,,Con arma blanca,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2.2.3,,,En accidente de tránsito,,324,300,346,272,312,285,296,307,290,309,336,279,3656
,1.2.2.4,,,Con otro elemento,,80,64,68,69,103,90,73,95,90,92,67,98,989
,1.2.2.5,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.3,Feminicidio,,,,5,4,3,2,2,9,2,3,1,2,1,3,37
,1.3.1,,,Con arma de fuego,,0,0,0,0,0,3,1,1,0,0,0,1,6
,1.3.2,,,Con arma blanca,,2,0,1,0,0,0,0,1,1,1,0,0,6
,1.3.3,,,Con otro elemento,,3,4,2,2,2,6,1,1,0,1,1,2,25
,1.3.4,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.4,Aborto,,,,7,6,8,11,5,4,6,4,7,9,7,10,84
,1.5,Otros delitos que atentan contra la vida y la integridad corporal,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
La libertad personal,2,Total de delitos contra la libertad personal,,,,71,72,64,82,78,67,87,88,73,94,88,72,936
,2.1,Secuestro,,,,1,4,4,4,4,4,5,5,3,2,2,2,40
,2.1.1,,Secuestro extorsivo,,,1,4,4,4,4,4,5,5,3,2,2,2,40
,2.1.2,,Secuestro con calidad de rehén,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.1.3,,Secuestro para causar daño,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.1.4,,Secuestro exprés,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.1.5,,Otro tipo de secuestros,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.2,Tráfico de menores,,,,0,0,0,0,0,0,1,0,0,1,0,0,2
,2.3,Rapto,,,,0,0,0,0,0,0,0,0,1,1,0,0,2
,2.4,Otros delitos que atentan contra la libertad personal,,,,70,68,60,78,74,63,81,83,69,90,86,70,892
La libertad y la seguridad sexual,3,Total de delitos contra la libertad y la seguridad sexual,,,,140,148,181,190,197,209,175,182,142,176,177,134,2051
,3.1,Abuso sexual,,,,94,95,126,144,141,170,130,136,105,142,141,102,1526
,3.2,Acoso sexual,,,,20,18,20,17,29,15,21,17,15,10,15,11,208
,3.3,Hostigamiento sexual,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.4,Violación simple,,,,22,27,28,22,19,22,18,25,18,23,16,17,257
,3.5,Violación equiparada,,,,3,7,5,6,7,2,5,4,2,1,4,2,48
,3.6,Incesto,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.7,Otros delitos que atentan contra la libertad y la seguridad sexual,,,,1,1,2,1,1,0,1,0,2,0,1,2,12
El patrimonio,4,Total de delitos contra el patrimonio,,,,10334,9671,10583,9638,11436,11616,11439,11931,10791,12466,11730,11402,133037
,4.1,Robo total,,,,7964,7403,8027,7431,8639,8920,8886,9266,8348,9543,9153,9134,102714
,4.1.1,,Robo a casa habitación,,,562,496,525,495,496,503,550,594,534,651,662,561,6629
,4.1.1.1,,,,Con violencia,34,38,45,29,34,33,38,36,28,35,39,41,430
,4.1.1.2,,,,Sin violencia,528,458,480,466,462,470,512,558,506,616,623,520,6199
,4.1.2,,Robo de vehículo automotor,,,1063,854,905,835,952,963,881,933,921,936,923,941,11107
,4.1.2.1,,,Robo de coche de 4 ruedas,,820,649,741,677,776,815,747,779,747,742,747,772,9012
,4.1.2.1.1,,,,Con violencia,275,218,241,209,249,291,264,270,228,236,241,227,2949
,4.1.2.1.2,,,,Sin violencia,545,431,500,468,527,524,483,509,519,506,506,545,6063
,4.1.2.2,,,Robo de motocicleta,,243,205,164,158,176,148,134,154,174,194,176,169,2095
,4.1.2.2.1,,,,Con violencia,113,93,85,69,87,88,50,73,91,73,89,77,988
,4.1.2.2.2,,,,Sin violencia,130,112,79,89,89,60,84,81,83,121,87,92,1107
,4.1.2.3,,,Robo de embarcaciones pequeñas y grandes,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.2.3.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.2.3.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.3,,Robo de autopartes,,,550,511,585,491,575,502,579,671,541,686,674,703,7068
,4.1.3.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.3.2,,,,Sin violencia,550,511,585,491,575,502,579,671,541,686,674,703,7068
El patrimonio,4.1.4,,Robo a transportista,,,12,13,10,9,6,13,7,6,8,6,18,8,116
,4.1.4.1,,,,Con violencia,12,10,7,8,5,10,6,5,7,5,14,6,95
,4.1.4.2,,,,Sin violencia,0,3,3,1,1,3,1,1,1,1,4,2,21
,4.1.5,,Robo a transeúnte en vía pública,,,1525,1336,1573,1353,1765,1818,1875,689,653,743,751,851,14932
,4.1.5.1,,,,Con violencia,1063,892,1094,997,1297,1263,1318,608,564,638,638,720,11092
,4.1.5.2,,,,Sin violencia,462,444,479,356,468,555,557,81,89,105,113,131,3840
,4.1.6,,Robo a transeúnte en espacio abierto al público,,,32,31,24,25,38,38,58,42,63,48,56,55,510
,4.1.6.1,,,,Con violencia,32,31,24,25,38,38,58,42,63,48,56,55,510
,4.1.6.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.7,,Robo en transporte público individual,,,20,15,19,25,25,19,12,28,24,23,16,22,248
,4.1.7.1,,,,Con violencia,14,11,12,16,16,10,5,19,12,16,13,14,158
,4.1.7.2,,,,Sin violencia,6,4,7,9,9,9,7,9,12,7,3,8,90
,4.1.8,,Robo en transporte público colectivo,,,231,244,281,276,357,372,510,463,388,357,270,260,4009
,4.1.8.1,,,,Con violencia,138,106,130,93,154,133,157,149,149,169,148,146,1672
,4.1.8.2,,,,Sin violencia,93,138,151,183,203,239,353,314,239,188,122,114,2337
,4.1.9,,Robo en transporte individual,,,165,157,153,134,173,150,187,261,244,223,232,185,2264
,4.1.9.1,,,,Con violencia,165,157,153,134,173,150,187,261,244,223,232,185,2264
,4.1.9.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.10,,Robo a institución bancaria,,,3,4,6,1,2,1,4,3,2,3,0,1,30
,4.1.10.1,,,,Con violencia,3,2,3,1,0,1,1,2,1,3,0,1,18
,4.1.10.2,,,,Sin violencia,0,2,3,0,2,0,3,1,1,0,0,0,12
,4.1.11,,Robo a negocio,,,1646,1532,1279,1169,1472,1636,1484,1529,1343,1485,1352,1489,17416
,4.1.11.1,,,,Con violencia,267,184,157,132,221,288,227,219,251,282,240,236,2704
