Bien jurídico afectado,Clave,"Tipo de delito, subtipo y modalidad",,,,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
,4.1.11.2,,,,Sin violencia,1379,1348,1122,1037,1251,1348,1257,1310,1092,1203,1112,1253,14712
,4.1.12,,Robo de ganado,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.12.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.12.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13,,Robo de maquinaria,,,1,1,0,2,1,1,1,1,1,2,1,2,14
,4.1.13.1,,,Robo de herramienta industrial o agrícola,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.1.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.1.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.2,,,Robo de tractores,,1,1,0,2,1,1,1,1,1,2,1,2,14
,4.1.13.2.1,,,,Con violencia,0,0,0,1,0,1,1,1,1,2,1,2,10
,4.1.13.2.2,,,,Sin violencia,1,1,0,1,1,0,0,0,0,0,0,0,4
,4.1.13.3,,,"Robo de cables, tubos y otros objetos destinados a servicios públicos",,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.3.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.3.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.14,,Otros robos,,,2154,2209,2667,2616,2777,2904,2738,4046,3626,4380,4198,4056,38371
,4.1.14.1,,,,Con violencia,144,100,122,82,127,126,103,897,861,1016,1023,965,5566
,4.1.14.2,,,,Sin violencia,2010,2109,2545,2534,2650,2778,2635,3149,2765,3364,3175,3091,32805
,4.2,Fraude,,,,896,847,932,846,1164,1099,1051,1044,944,1164,1019,891,11897
,4.3,Abuso de confianza,,,,279,302,339,281,370,324,291,318,273,335,283,288,3683
,4.4,Extorsión,,,,48,29,44,34,44,46,47,43,39,47,33,36,490
,4.5,Daño a la propiedad,,,,891,847,926,820,909,912,872,914,918,1059,956,802,10826
,4.6,Despojo,,,,256,243,315,226,310,315,292,346,269,318,286,251,3427
,4.7,Otros delitos contra el patrimonio,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
La familia,5,Total de delitos contra la familia,,,,1518,1467,1696,1622,1791,1855,1614,1838,1691,1715,1556,1537,19900
,5.1,Violencia familiar,,,,1382,1340,1578,1495,1651,1704,1484,1694,1556,1608,1445,1423,18360
,5.2,Violencia de género en todas sus modalidades distinta a la violencia familiar,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.3,Incumplimiento de obligaciones de asistencia familiar,,,,57,66,67,64,62,67,52,48,44,37,45,45,654
,5.4,Otros delitos contra la familia,,,,79,61,51,63,78,84,78,96,91,70,66,69,886
La sociedad,6,Total de delitos contra la sociedad,,,,15,20,12,18,16,19,15,16,19,24,18,10,202
,6.1,Corrupción de menores,,,,8,10,5,12,8,13,10,10,15,15,15,5,126
,6.2,Trata de personas,,,,1,2,1,1,4,2,3,1,1,2,1,1,20
,6.3,Otros delitos contra la sociedad,,,,6,8,6,5,4,4,2,5,3,7,2,4,56
Otros,7,Total de delitos contra otros bienes jurídicos afectados,,,,2564,2375,2787,2658,3015,2992,2858,3272,2986,3187,3172,2876,34742
,7.1,Narcomenudeo,,,,157,153,164,149,169,193,204,318,258,294,299,267,2625
,7.2,Amenazas,,,,705,730,777,732,826,845,734,835,856,813,764,687,9304
,7.3,Allanamiento de morada,,,,68,49,51,75,57,71,67,69,69,87,57,52,772
,7.4,Evasión de presos,,,,0,0,0,1,0,0,1,2,1,0,2,0,7
,7.5,Falsedad,,,,39,32,24,45,28,36,35,38,25,26,26,26,380
,7.6,Falsificación,,,,540,458,515,448,591,621,624,648,613,817,818,778,7471
,7.7,Contra el medio ambiente,,,,64,58,69,59,81,84,110,76,83,115,119,54,972
,7.8,Delitos cometidos por servidores públicos,,,,211,267,301,250,281,268,256,231,227,219,207,198,2916
,7.9,Electorales,,,,43,1,86,180,191,102,0,5,0,4,1,8,621
,7.1,Otros delitos del Fuero Común,,,,737,627,800,719,791,772,827,1050,854,812,879,806,9674
